"DateMadePublic","Company","City","State","TypeofBreach","TypeofOrganization","RecordsBreached","TotalRecords","DescriptionofIncident","Information.Source","Year","lon","lat"
"May 8, 2007","Carus Publishing Company","Petersborough","New","Hacking or Malware","Business Other","0",0,"Hackers obtained access to customer information located on the Company's website.  The breach occurred sometime between April and May.  Customer names, addresses, credit card numbers and types of credit cards were downloaded by the hackers.","Dataloss DB","2007",-71.9516746,42.8706048
"May 30, 2007","OfficeTeam","Manchester","New","Unintended Disclosure","Business Other","237",237,"A staffing professional from OfficeTeam sent an email to individuals.  The email included the email addresses and Social Security numbers of all the recipients of the email.  At least 237 New Hampshire residents were affected by the incident, but the total number of individuals affected nationwide was not reported.","Dataloss DB","2007",-71.4547891,42.9956397
"May 24, 2007","Home Depot","Atlanta","Georgia","Portable Device","Retail Merchant Including Online Retail","204",204,"A consultant's laptop was stolen. It contained the names and Social Security numbers of Home Depot associates.","Dataloss DB","2007",-84.3879824,33.7489954
"May 7, 2007","Arteis","Palo","Alto","Hacking or Malware","Business Other","0",0,"In January, Arteis discovered that an unauthorized person had accessed certain files.  Customer names, addresses and credit card numbers may have been exposed.","Dataloss DB","2007",-122.1430195,37.4418834
"May 15, 2007","IBM","Armonk","New","Portable Device","Business Other","2226",2226,"An unnamed IBM vendor lost computer tapes containing information on IBM employees -- mostly ex-workers -- including SSNs, dates of birth, and addresses. They went missing in transit frm a contractor's vehicle. At least 1468 New Hampshire and 758 Maine residents were affected, but the total number of affected individuals nationwide was not revealed.","Dataloss DB","2007",-73.7140195,41.1264849
"June 25, 2007","UnitedHealthCare","Trumbull","Connecticut","Insider","Healthcare Medical Providers and Medical Insurance Services","17,000",17000,"A former employee had the names, Social Security numbers, dates of birth and addresses of about 127 members.  The employee is believed to have participated in fraudulent activity and may have accessed approximately 17,000 members' information during the final 2 1/2 years of his or her employment.","Dataloss DB","2007",-73.2006639,41.2428563
"June 5, 2007","vFinance Investments Inc.","Boca","Raton","Hacking or Malware","Financial and Insurance Services","29,000",29000,"A database that contained customer information was accessed through the www.vfinance.com website by an unauthorized person.  The goal of the attack seems to have been to deface the website.  ","Dataloss DB","2007",-80.1289321,26.3683064
"June 4, 2007","GFK NOP LLC","New","York","Portable Device","Business Other","0",0,"An employee's laptop was stolen from her car on May 29.  A payroll-related Excel file that contained the names, Social Security numbers, dates of birth, state of residence and base rate of pay for employees.","Dataloss DB","2007",-74.0059728,40.7127753
"June 1, 2007","JAX Federal Credit Union","Jacksonville","Florida","Unintended Disclosure","Financial and Insurance Services","7,500",7500,"Auto loan mailing list information that was being transmitted to a printer was picked up by Google through the printer's website.  Social Security numbers and account numbers were exposed.  The information was supposed to be encrypted.","Dataloss DB","2007",-81.655651,30.3321838
"June 9, 2007","Verus Inc., Concord Hospital","",NA,"Unintended Disclosure","Healthcare Medical Providers and Medical Insurance Services","9,297",9297,"Patient names, addresses, Social Security numbers and dates of birth were unprotected on the Internet. A subcontractor named Verus that handles Concord's online billing was responsible for the breach.","","2007",18.49041,-22.95764
"July 31, 2007","Textron","Providence","Rhode","Portable Device","Financial and Insurance Services","500 (No SSNs or financial information reported)",0,"An employee's laptop was stolen.  It contained employee information.  At least 475 New Hampshire and 25 Maine residents were affected, but the total number of affected individuals was not revealed.","Dataloss DB","2007",-71.4128343,41.8239891
"July 16, 2007","Intergraph Corporation","Huntsville","Alabama","Hacking or Malware","Retail Merchant Including Online Retail","0",0,"Confidential information about some transactions was accessed without authority by an unknown person or persons via the Internet.  The information may have included name, address, and credit or debit card number and expiration date, in addition to shipping address and in some cases, a separate credit card address.","Dataloss DB","2007",-86.5861037,34.7303688
"July 25, 2007","Affiliated Computer Services (ACS) Government Systems Inc., Delaware Court Systems","Levington","Kentucky","Portable Device","Government and Military","2,718",2718,"The luggage of an employee of ACS was stolen during airline travel.  The bag contained a hard drive that may have included names, addresses, Social Security numbers and dates of birth.  The information was obtained from the State of Delaware Court System.","Dataloss DB","2007",-84.5037164,38.0405837
"December 23, 2010","Mankato Clinic","Mankato","Minnesota","Portable Device","Healthcare Medical Providers and Medical Insurance Services","3,159 (No SSNs or financial information reported)",0,"A laptop was stolen from the car of a registered nurse sometime between November 1 and 2.  It contained a spreadsheet with patient names, dates of birth, medical record numbers, health provider names and diagnosis information.  Patients were notified in late December because it took nearly two months to notify patients because the Clinic was determining what was on the laptop.","PHIPrivacy.net","2010",-93.9993996,44.1635775
